Person_name,Threshold,TP,FP,FN,TN,FMC,Miss_R,FMR,Intrusion,Train_count,Test_count
Mammukoya,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
Mamootty,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
Mohanlal,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
Mukesh,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
NTR,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
Nagarjuna,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
NedumudiVenu,0.03,1,0,1,0,1,50.0,50.0,15.714285714285714,9,3
PareshRaval,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
Pavithralokesh,0.03,1,0,1,0,1,50.0,50.0,15.714285714285714,9,3
PrakashRaj,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
Prema,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
PremaNazir,0.03,2,0,0,0,1,0,33.33333333333333,15.714285714285714,9,3
RajeshKhanna,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
RakheeGulzar,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
RamanaReddy,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
Ramaprabha,0.03,2,0,0,0,1,0,33.33333333333333,15.714285714285714,9,3
RameshArvind,0.03,1,0,0,0,2,0,66.66666666666666,15.714285714285714,9,3
Rameshbhatt,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
RamyaKrishna,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
Ranimukherji,0.03,0,0,0,0,3,0,100.0,15.714285714285714,9,3
Relangi,0.03,1,0,1,0,1,50.0,50.0,15.714285714285714,9,3
Rimisen,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
RishiKapoor,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
SVR,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
SailendraMukherjee,0.03,1,0,2,0,0,66.66666666666666,0,15.714285714285714,9,3
SalmanKhan,0.03,2,0,1,0,0,33.33333333333333,0,15.714285714285714,9,3
Savithri,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
SharmilaTagore,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
SharukhKhan,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
Shashikumar,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
ShilpaShetty,0.03,0,0,0,0,3,0,100.0,15.714285714285714,9,3
Shivaram,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
Shobana,0.03,2,0,0,0,1,0,33.33333333333333,15.714285714285714,9,3
Siddique,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
Simran,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
SoumithraChatterjee,0.03,2,0,1,0,0,33.33333333333333,0,15.714285714285714,9,3
Soundarya,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
Srihari,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
SureshGopi,0.03,1,0,0,0,2,0,66.66666666666666,15.714285714285714,9,3
Suryakantham,0.03,1,0,0,0,2,0,66.66666666666666,15.714285714285714,9,3
TanikellaBharani,0.03,0,0,0,0,3,0,100.0,15.714285714285714,9,3
Tenniskrishna,0.03,0,0,3,0,0,100.0,0,15.714285714285714,9,3
Thilakan,0.03,1,0,1,0,1,50.0,50.0,15.714285714285714,9,3
Trisha,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
Umashri,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
Unknown,0.03,0,22,0,118,0,0,0,15.714285714285714,0,140
Vajramuni,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
Venkatesh,0.03,0,0,1,0,2,100.0,100.0,15.714285714285714,9,3
VinodKhanna,0.03,1,0,1,0,1,50.0,50.0,15.714285714285714,9,3
Vishnuvardhan,0.03,0,0,2,0,1,100.0,100.0,15.714285714285714,9,3
ANR,0.04,1,0,0,0,2,0,66.66666666666666,37.142857142857146,9,3
AamairKhan,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
Aarthi,0.04,1,0,0,0,2,0,66.66666666666666,37.142857142857146,9,3
AkshayKumar,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
Ali,0.04,1,0,1,0,1,50.0,50.0,37.142857142857146,9,3
Ambresh,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
AmitabhBachchan,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
AmrishPuri,0.04,0,0,3,0,0,100.0,0,37.142857142857146,9,3
AnilKapoor,0.04,0,0,2,0,1,100.0,100.0,37.142857142857146,9,3
Annapoorna,0.04,1,0,0,0,2,0,66.66666666666666,37.142857142857146,9,3
AnupamKher,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
Ashwath,0.04,1,0,0,0,2,0,66.66666666666666,37.142857142857146,9,3
Avinash,0.04,2,0,0,0,1,0,33.33333333333333,37.142857142857146,9,3
BabuMohan,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
Balakrishna,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
Bhanupriya,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
Bharathi,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
BomanIrani,0.04,0,0,2,0,1,100.0,100.0,37.142857142857146,9,3
Brahmanandam,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
Cochinhaneefa,0.04,2,0,1,0,0,33.33333333333333,0,37.142857142857146,9,3
Dileep,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
Dr.Rajkumar,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
Dwarkish,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
FaridaJalal,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
HrithikRoshan,0.04,0,0,2,0,1,100.0,100.0,37.142857142857146,9,3
Innocent,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
Jagadeesh,0.04,1,0,0,0,2,0,66.66666666666666,37.142857142857146,9,3
JagapathiBabu,0.04,0,0,2,0,1,100.0,100.0,37.142857142857146,9,3
Jagathi,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
Jamuna,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
JayaBhaduri,0.04,0,0,2,0,1,100.0,100.0,37.142857142857146,9,3
Jayaprakash,0.04,0,0,2,0,1,100.0,100.0,37.142857142857146,9,3
Jayram,0.04,1,0,0,0,2,0,66.66666666666666,37.142857142857146,9,3
JosePrakash,0.04,0,0,3,0,0,100.0,0,37.142857142857146,9,3
K.Viswanath,0.04,0,0,2,0,1,100.0,100.0,37.142857142857146,9,3
KajalAgarwal,0.04,0,0,3,0,0,100.0,0,37.142857142857146,9,3
Kajol,0.04,0,0,0,0,3,0,100.0,37.142857142857146,9,3
KareenaKapoor,0.04,0,0,1,0,2,100.0,100.0,37.142857142857146,9,3
KarunaBenerjee,0.04,2,0,1,0,0,33.33333333333333,0,37.142857142857146,9,3
KatrinaKaif,0.04,2,0,0,0,1,0,33.33333333333333,37.142857142857146,9,3
